,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,Mat_y,Inns_y,Overs,Mdns,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
159,Abdur Razzak (BAN),,,,,,,,,,,,,,34,33,121.4,4,838,44,19.04,6.88,16.5,1,0
160,DJG Sammy (WI/World),,,,,,,,,,,,,,68,59,152.4,0,1116,44,25.36,7.31,20.8,1,1
161,JW Dernbach (ENG/ITA),,,,,,,,,,,,,,40,39,137.4,1,1170,44,26.59,8.49,18.7,1,0
162,Al-Amin Hossain (BAN),,,,,,,,,,,,,,31,29,102.2,0,730,43,16.97,7.13,14.2,0,0
163,Mudassar Bukhari (NED),,,,,,,,,,,,,,38,35,117.2,4,780,43,18.13,6.64,16.3,3,0
164,AC Agar (AUS),,,,,,,,,,,,,,40,40,137.4,1,926,43,21.53,6.72,19.2,0,2
165,KD Mills (NZ),,,,,,,,,,,,,,42,42,149.3,1,1228,43,28.55,8.21,20.8,0,0
166,SS Cottrell (WI),,,,,,,,,,,,,,34,33,117.1,2,920,42,21.9,7.85,16.7,1,0
167,PJ Cummins (AUS),,,,,,,,,,,,,,37,37,134,3,940,42,22.38,7.01,19.1,0,0
168,HH Pandya (INDIA),,,,,,,,,,,,,,54,47,139.5,1,1151,42,27.4,8.23,19.9,1,0
169,Mashrafe Mortaza (BAN),,,,,,,,,,,,,,54,53,189.5,1,1527,42,36.35,8.04,27.1,1,0
170,Kuldeep Yadav (INDIA),,,,,,,,,,,,,,23,22,81.3,1,583,41,14.21,7.15,11.9,1,1
171,KOK Williams (WI),,,,,,,,,,,,,,26,26,91.5,2,805,41,19.63,8.76,13.4,1,0
172,T van der Gugten (NED),,,,,,,,,,,,,,40,39,121.5,0,879,41,21.43,7.21,17.8,0,0
173,Haris Rauf (PAK),,,,,,,,,,,,,,34,32,119.3,0,1009,41,24.6,8.44,17.4,1,0
174,WD Parnell (SA),,,,,,,,,,,,,,40,39,124.5,3,1038,41,25.31,8.31,18.2,1,0
175,DM Nakrani (UGA),,,,,,,,,,,,,,26,25,86,3,467,40,11.67,5.43,12.9,0,2
176,AL Phehlukwayo (SA),,,,,,,,,,,,,,35,32,100.4,0,846,40,21.15,8.4,15.1,1,0
177,AC Evans (SCOT),,,,,,,,,,,,,,34,32,116,4,892,40,22.3,7.68,17.4,0,1
178,Dawlat Zadran (AFG),,,,,,,,,,,,,,34,34,123.3,2,980,40,24.5,7.93,18.5,1,0
179,AD Russell (WI),,,,,,,,,,,,,,67,56,148.3,0,1364,39,34.97,9.18,22.8,0,0
180,DL Vettori (NZ),,,,,,,,,,,,,,34,34,131.1,1,748,38,19.68,5.7,20.7,1,0
181,MG Johnson (AUS),,,,,,,,,,,,,,30,30,109.2,2,797,38,20.97,7.28,17.2,0,0
182,DJ Willey (ENG),,,,,,,,,,,,,,32,32,106.5,0,854,38,22.47,7.99,16.8,1,0
183,PVD Chameera (SL),,,,,,,,,,,,,,39,39,136.2,0,1075,38,28.28,7.88,21.5,1,0
184,Mohammad Naveed (UAE),,,,,,,,,,,,,,31,31,114.4,5,729,37,19.7,6.35,18.5,0,0
